Name,RK,Active PPT,Term PPT,PPT,Assets,Asset (minus Loans),Total Investment,Revenue Share,Net Investments,Total Monthly RK,Annual RK,RK Sponsor Fee$,RK Sponsor fee%,RK PPT Fee$,RK PPT Fee%,PPT Service Fees,Trustee Custodial,Participant Advice,Advisor%,TPA%,Total PPT,Net Investments,Rev-Share,Total Investments,Total Advisor,Total TPA,Total RK,Total Cost,Total Cost %,Total Cost + Service,PDFLink,,,,,,,,,,Total Investment
AVIATION TECHNICAL SERVICES,Fidelity,,,1798,"$86,640,173.00",,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1IRMBTWeOnVZFGEodDj9a_lW-AcXsVDA1/view?usp=drive_link,,,,,,,,,,
GAINSIGHT,Fidelity,,,275,"$10,479,074.00",,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1adRkh3xgAzlGHy5OtqcCX01occy_6nrK/view?usp=drive_link,,,,,,,,,,
HAMPEL OIL DISTRIBUTORS,Fidelity,,,264,"$10,788,984.00",,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1dirTqR38A7-SASjNQ2DgPn3BMif8ssGT/view?usp=drive_link,,,,,,,,,,
HERITAGE TRUST FEDERAL CREDIT UNION,Fidelity,,,245,"$12,101,455.00",,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1utMmMqCfVVKUBuNiFgDy3Z4ZwY3DR0o_/view?usp=drive_link,,,,,,,,,,
DRURY EMPLOYEE SAVINGS PLAN,Fidelity,,,88,"$15,084,623.00",,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1qGD1ENVtRHJ-wLm7DEqFgjyqksNK74Eu/view?usp=drive_link,,,,,,,,,,
HANDLE FINANCIAL,Fidelity,,,58,"$3,552,153.00",,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1z_nA5VKlhJbdn7ZUPGM0K4_kaANVDkMK/view?usp=drive_link,,,,,,,,,,
REMINGTON & VERNICK ENGINEERS II,Fidelity,,,442,"$52,337,985.00",,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/13-GF5TZCh09HU11yhIW78qVkmBmPzILW/view?usp=drive_link,,,,,,,,,,
TAWANI ENTERPRISES EMPLOYEES',Fidelity,,,115,"$13,814,100.00",,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/17oY9-0_w7orBRLZB44-n0MV9c3xUM8kX/view?usp=drive_link,,,,,,,,,,
HDL Engineering Consultants,Empower,,,94,"4,141,055.00","$4,118,344",,,0.54%,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1OBUpJ0n5F7-peiCFgYbnyvNT-InptUhd/view?usp=drive_link,,,,,,,,,,
Quiring General,Empower,,,75,"$5,766,982","$5,699,677",,,0.43%,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/18nBJNP3HxcedhM2y8vEsCeUrGzM7yH9j/view?usp=drive_link,,,,,,,,,,
Intex Corp.,Empower,,,112,"$17,136,850","$16,863,399",,,0.24%,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1hjenLLjUVcrqmytAxVmd5PRzWWHUtOAO/view?usp=drive_link,,,,,,,,,,
Vine Connections,Empower,,,30,"$3,122,649","$3,102,449",,,0.21%,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/12Cwg1pxZz3NBOEO51ayUqbcIufG1B2I8/view?usp=drive_link,,,,,,,,,,
Skinner Transfer Corp,Empower,,,75,"$1,870,847","$1,798,846",,,0.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Turner, Warren, Hwang, & Conrad Accountancy Corporation",Empower,,,36,"$3,791,375","$3,791,375",,,0.51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
